periodo_cfe,Hora,Día,Temporada
Base,12:00,0,Verano
Base,12:15,0,Verano
Base,12:30,0,Verano
Base,12:45,0,Verano
Base,01:00,0,Verano
Base,01:15,0,Verano
Base,01:30,0,Verano
Base,01:45,0,Verano
Base,02:00,0,Verano
Base,02:15,0,Verano
Base,02:30,0,Verano
Base,02:45,0,Verano
Base,03:00,0,Verano
Base,03:15,0,Verano
Base,03:30,0,Verano
Base,03:45,0,Verano
Base,04:00,0,Verano
Base,04:15,0,Verano
Base,04:30,0,Verano
Base,04:45,0,Verano
Base,05:00,0,Verano
Base,05:15,0,Verano
Base,05:30,0,Verano
Base,05:45,0,Verano
Base,06:00,0,Verano
Base,06:15,0,Verano
Base,06:30,0,Verano
Base,06:45,0,Verano
Base,07:00,0,Verano
Base,07:15,0,Verano
Base,07:30,0,Verano
Base,07:45,0,Verano
Base,08:00,0,Verano
Base,08:15,0,Verano
Base,08:30,0,Verano
Base,08:45,0,Verano
Base,09:00,0,Verano
Base,09:15,0,Verano
Base,09:30,0,Verano
Base,09:45,0,Verano
Base,10:00,0,Verano
Base,10:15,0,Verano
Base,10:30,0,Verano
Base,10:45,0,Verano
Base,11:00,0,Verano
Base,11:15,0,Verano
Base,11:30,0,Verano
Base,11:45,0,Verano
Base,00:00,0,Verano
Base,00:15,0,Verano
Base,00:30,0,Verano
Base,00:45,0,Verano
Base,13:00,0,Verano
Base,13:15,0,Verano
Base,13:30,0,Verano
Base,13:45,0,Verano
Base,14:00,0,Verano
Base,14:15,0,Verano
Base,14:30,0,Verano
Base,14:45,0,Verano
Base,15:00,0,Verano
Base,15:15,0,Verano
Base,15:30,0,Verano
Base,15:45,0,Verano
Base,16:00,0,Verano
Base,16:15,0,Verano
Base,16:30,0,Verano
Base,16:45,0,Verano
Base,17:00,0,Verano
Base,17:15,0,Verano
Base,17:30,0,Verano
Base,17:45,0,Verano
Base,18:00,0,Verano
Base,18:15,0,Verano
Base,18:30,0,Verano
Base,18:45,0,Verano
Base,12:00,1,Verano
Base,12:15,1,Verano
Base,12:30,1,Verano
Base,12:45,1,Verano
Base,01:00,1,Verano
Base,01:15,1,Verano
Base,01:30,1,Verano
Base,01:45,1,Verano
Base,02:00,1,Verano
Base,02:15,1,Verano
Base,02:30,1,Verano
Base,02:45,1,Verano
Base,03:00,1,Verano
Base,03:15,1,Verano
Base,03:30,1,Verano
Base,03:45,1,Verano
Base,04:00,1,Verano
Base,04:15,1,Verano
Base,04:30,1,Verano
Base,04:45,1,Verano
Base,05:00,1,Verano
Base,05:15,1,Verano
Base,05:30,1,Verano
Base,05:45,1,Verano
Punta,20:00,1,Verano
Punta,20:15,1,Verano
Punta,20:30,1,Verano
Punta,20:45,1,Verano
Punta,21:00,1,Verano
Punta,21:15,1,Verano
Punta,21:30,1,Verano
Punta,21:45,1,Verano
Base,12:00,2,Verano
Base,12:15,2,Verano
Base,12:30,2,Verano
Base,12:45,2,Verano
Base,01:00,2,Verano
Base,01:15,2,Verano
Base,01:30,2,Verano
Base,01:45,2,Verano
Base,02:00,2,Verano
Base,02:15,2,Verano
Base,02:30,2,Verano
Base,02:45,2,Verano
Base,03:00,2,Verano
