periodo_cfe,Hora,Día,Temporada
Base,0:00,0,Verano
Base,0:05,0,Verano
Base,0:10,0,Verano
Base,0:15,0,Verano
Base,0:20,0,Verano
Base,0:25,0,Verano
Base,0:30,0,Verano
Base,0:35,0,Verano
Base,0:40,0,Verano
Base,0:45,0,Verano
Base,0:50,0,Verano
Base,0:55,0,Verano
Base,1:00,0,Verano
Base,1:05,0,Verano
Base,1:10,0,Verano
Base,1:15,0,Verano
Base,1:20,0,Verano
Base,1:25,0,Verano
Base,1:30,0,Verano
Base,1:35,0,Verano
Base,1:40,0,Verano
Base,1:45,0,Verano
Base,1:50,0,Verano
Base,1:55,0,Verano
Base,2:00,0,Verano
Base,2:05,0,Verano
Base,2:10,0,Verano
Base,2:15,0,Verano
Base,2:20,0,Verano
Base,2:25,0,Verano
Base,2:30,0,Verano
Base,2:35,0,Verano
Base,2:40,0,Verano
Base,2:45,0,Verano
Base,2:50,0,Verano
Base,2:55,0,Verano
Base,3:00,0,Verano
Base,3:05,0,Verano
Base,3:10,0,Verano
Base,3:15,0,Verano
Base,3:20,0,Verano
Base,3:25,0,Verano
Base,3:30,0,Verano
Base,3:35,0,Verano
Base,3:40,0,Verano
Base,3:45,0,Verano
Base,3:50,0,Verano
Base,3:55,0,Verano
Base,4:00,0,Verano
Base,4:05,0,Verano
Base,4:10,0,Verano
Base,4:15,0,Verano
Base,4:20,0,Verano
Base,4:25,0,Verano
Base,4:30,0,Verano
Base,4:35,0,Verano
Base,4:40,0,Verano
Base,4:45,0,Verano
Base,4:50,0,Verano
Base,4:55,0,Verano
Base,5:00,0,Verano
Base,5:05,0,Verano
Base,5:10,0,Verano
Base,5:15,0,Verano
Base,5:20,0,Verano
Base,5:25,0,Verano
Base,5:30,0,Verano
Base,5:35,0,Verano
Base,5:40,0,Verano
Base,5:45,0,Verano
Base,5:50,0,Verano
Base,5:55,0,Verano
Base,6:00,0,Verano
Base,6:05,0,Verano
Base,6:10,0,Verano
Base,6:15,0,Verano
Base,6:20,0,Verano
Base,6:25,0,Verano
Base,6:30,0,Verano
Base,6:35,0,Verano
Base,6:40,0,Verano
Base,6:45,0,Verano
Base,6:50,0,Verano
Base,6:55,0,Verano
Base,7:00,0,Verano
Base,7:05,0,Verano
Base,7:10,0,Verano
Base,7:15,0,Verano
Base,7:20,0,Verano
Base,7:25,0,Verano
Base,7:30,0,Verano
Base,7:35,0,Verano
Base,7:40,0,Verano
Base,7:45,0,Verano
Base,7:50,0,Verano
Base,7:55,0,Verano
Base,8:00,0,Verano
Base,8:05,0,Verano
Base,8:10,0,Verano
Base,8:15,0,Verano
Base,8:20,0,Verano
Base,8:25,0,Verano
Base,8:30,0,Verano
Base,8:35,0,Verano
Base,8:40,0,Verano
Base,8:45,0,Verano
Base,8:50,0,Verano
Base,8:55,0,Verano
Base,9:00,0,Verano
Base,9:05,0,Verano
Base,9:10,0,Verano
Base,9:15,0,Verano
Base,9:20,0,Verano
Base,9:25,0,Verano
Base,9:30,0,Verano
Base,9:35,0,Verano
Base,9:40,0,Verano
Base,9:45,0,Verano
Base,9:50,0,Verano
Base,9:55,0,Verano
Base,10:00,0,Verano
Base,10:05,0,Verano
Base,10:10,0,Verano
Base,10:15,0,Verano
Base,10:20,0,Verano
Base,10:25,0,Verano
Base,10:30,0,Verano
Base,10:35,0,Verano
Base,10:40,0,Verano
Base,10:45,0,Verano
Base,10:50,0,Verano
Base,10:55,0,Verano
Base,11:00,0,Verano
Base,11:05,0,Verano
Base,11:10,0,Verano
